PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
1,Corallina officinalis var. chilensis ,,Corallina officinalis,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",15-Mar-07,,A88572,,"Epilithic, low intertidal, above ""Coralline Bench"" on vertical wall",,,,,,
2,Bossiella plumosa,no more DNA,Bossiella plumosa,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",15-Mar-07,,A88573,,"Epilithic, mid intertidal, ""Coralline bench""",,,,,,
3,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,A87283,,"Epilithic, very low intertidal, ""Coralline Bench""",,,,,,
4,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,A87284,,"Epilithic, low intertidal, ""Coralline Bench"", adjacent to C. cheilosporioides",,,,,,
5,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,A88574,,"Epilithic, mid-intertidal",,,,,,
6,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,A87285,,"Epilithic, mid-intertidal tidepool with 4 dynamometers",,,,,,
7,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-07,,A87286,,"Epilithic, mid-intertidal tidepool with 4 dynamometers",,,,,,
8,Lithothrix aspergillum,,Lithothrix aspergillum,,,,,,,,,x (PG),,Coralline,"Treasure Cove, Laguna Beach, CA",27-Aug-07,,A88575,,"Epilithic, collected by snorkle",,,,,,
9,Bossiella dichotoma,,Bossiella dichotoma,,yes,3x07 (PG),,,,,,x (PG),,Coralline,"Crystal Cove, Laguna Beach, CA",28-Aug-07,,A88576,,"Epilithic, +1.0 feet in tidepools",,,,,,
10,Corallina officinalis var. chilensis,,Corallina officinalis,,,,,,,,,x (PG),,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-07,,A88577,,Collected from drift,,,,,,
11,Corallina officinalis var. chilensis,,Corallina officinalis,,,,,,,,,x (PG),,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-07,,A88578,,Collected from drift,,,,,,
12,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,x (PG),,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-07,"Patrick had ""californiensis"" label on this specimen",A88579,,Collected from drift,,,,,,
